,Ch_1,Ch_2,Ch_3,Ch_4,Ch_5,Ch_6,Ch_7,Ch_8,Ch_9,Ch_10,Du_1,Du_2,Du_3,Du_4,Du_5,Du_6,Du_7,Du_8,Du_9,Du_10,En_1,En_2,En_3,En_4,En_5,En_6,En_7,En_8,En_9,En_10,Fi_1,Fi_2,Fi_3,Fi_4,Fi_5,Fi_6,Fi_7,Fi_8,Fi_9,Fi_10,Fr_1,Fr_2,Fr_3,Fr_4,Fr_5,Fr_6,Fr_7,Fr_8,Fr_9,Fr_10,It_1,It_2,It_3,It_4,It_5,It_6,It_7,It_8,It_9,It_10,Po_1,Po_2,Po_3,Po_4,Po_5,Po_6,Po_7,Po_8,Po_9,Po_10,Sp_1,Sp_2,Sp_3,Sp_4,Sp_5,Sp_6,Sp_7,Sp_8,Sp_9,Sp_10
T4,38,77,127,166,210,242,276,312,362,398,195,423,611,798,1013,1213,1402,1621,1818,2021,123,232,375,493,609,747,886,1029,1160,1267,132,238,351,447,566,681,811,908,1027,1154,72,139,219,283,343,414,497,551,619,685,45,110,163,212,271,331,392,434,496,541,17,38,71,95,116,137,160,180,211,246,37,90,127,176,217,270,327,366,408,476
W1,42,110,162,239,302,379,441,491,562,614,82,181,253,338,419,494,570,666,746,828,150,326,487,641,799,958,1136,1295,1446,1593,60,120,156,216,265,309,363,417,479,530,58,125,195,262,327,382,449,498,565,620,157,294,475,652,804,964,1100,1243,1381,1535,134,269,396,539,644,777,887,1002,1138,1264,183,333,522,689,857,1021,1175,1342,1502,1653
W2,13,57,75,104,134,157,182,193,214,246,29,64,88,118,149,184,221,246,271,304,49,87,152,222,275,321,380,442,484,541,78,153,232,318,398,483,568,639,716,784,9,20,31,41,45,56,64,74,82,89,38,92,144,209,257,309,372,424,495,550,37,65,102,134,173,205,241,274,302,322,3,5,9,10,11,14,17,20,21,22
W3,69,132,206,251,308,382,438,486,544,593,109,223,305,414,505,604,683,783,897,999,262,505,799,1078,1372,1649,1919,2203,2480,2761,177,324,475,644,786,959,1128,1284,1461,1616,169,341,531,696,854,1048,1227,1403,1602,1805,593,1209,1902,2524,3085,3756,4384,4973,5620,6226,183,343,545,705,882,1056,1208,1392,1556,1732,950,1860,2711,3620,4577,5447,6352,7228,8118,8988
W4,16,37,54,72,97,110,138,158,179,201,37,67,100,130,162,188,215,238,269,291,95,186,275,353,452,537,634,729,802,886,82,159,233,308,391,469,559,633,725,808,35,74,117,144,173,204,243,285,317,368,89,172,267,365,454,545,632,725,823,895,51,95,134,182,225,273,311,355,390,433,27,49,68,96,122,133,150,177,196,214
W5,26,69,118,157,188,237,278,298,340,379,36,68,104,140,167,207,238,277,314,359,102,192,277,368,467,582,668,751,844,939,39,68,99,130,159,195,228,267,300,342,88,179,271,367,484,600,704,809,906,996,23,46,65,98,112,139,164,189,205,236,127,259,365,482,575,676,798,901,1004,1107,18,25,36,49,61,73,83,93,100,115
X1,24,50,78,112,132,173,206,236,253,276,4,12,18,24,36,44,49,53,59,69,19,35,58,87,104,130,152,174,186,202,142,300,453,597,748,905,1056,1203,1338,1483,7,17,24,29,36,39,42,45,53,58,0,0,0,0,0,0,0,0,0,0,8,11,24,37,46,53,65,75,89,101,63,132,206,287,359,435,521,579,648,700
X2,694,1480,2244,3023,3753,4527,5267,6038,6804,7527,1329,2643,3979,5337,6578,7932,9263,10572,11939,13215,2072,4235,6296,8418,10489,12658,14786,16878,18931,20980,1304,2611,3975,5254,6600,7911,9129,10430,11713,13042,1128,2298,3423,4536,5688,6827,8007,9196,10337,11474,2259,4640,6963,9216,11513,13831,16123,18420,20779,23078,1632,3338,4871,6537,8202,9805,11427,13040,14576,16255,2247,4460,6586,8750,10943,13038,15185,17416,19552,21633
X3,92,193,304,412,515,614,716,826,942,1040,595,1197,1799,2434,3025,3658,4215,4808,5388,6022,404,821,1237,1676,2082,2509,2930,3371,3842,4309,753,1452,2193,2919,3648,4361,5105,5844,6570,7277,356,732,1102,1472,1849,2194,2561,2923,3279,3637,773,1653,2489,3306,4207,5102,5917,6744,7600,8475,155,316,487,638,795,971,1130,1311,1492,1648,388,768,1164,1593,2016,2407,2785,3214,3566,3984
X4,46,98,143,203,264,299,353,410,475,512,194,418,636,847,1055,1265,1486,1698,1945,2126,804,1633,2423,3243,4081,4930,5739,6608,7472,8277,550,1112,1605,2177,2719,3264,3822,4387,4934,5484,306,611,896,1165,1451,1756,2075,2367,2656,2955,803,1613,2415,3253,4091,4974,5784,6653,7469,8336,443,845,1276,1670,2069,2494,2897,3272,3659,4027,491,918,1344,1804,2247,2683,3123,3601,4028,4458
X5,53,109,182,238,294,360,408,461,526,587,187,403,596,831,1025,1231,1444,1679,1860,2085,394,784,1196,1556,1950,2339,2700,3086,3429,3830,356,642,964,1290,1604,1941,2253,2629,2984,3331,182,386,581,760,946,1115,1319,1497,1684,1853,383,789,1210,1582,1935,2318,2690,3060,3437,3817,201,420,605,792,990,1170,1380,1585,1777,1994,248,467,685,897,1128,1345,1583,1815,2035,2269
X6,15,31,56,80,102,128,146,165,189,207,106,233,358,460,559,679,800,896,1002,1108,187,334,509,670,861,1017,1206,1363,1548,1702,137,272,387,524,654,793,936,1081,1223,1356,107,212,312,394,486,596,692,785,874,951,107,218,309,431,536,636,730,849,971,1101,77,135,193,284,348,413,478,518,586,647,117,222,315,409,515,613,733,838,935,1054
X7,183,381,555,769,945,1140,1318,1504,1708,1889,587,1165,1739,2331,2890,3461,4029,4645,5250,5814,965,1951,2913,3906,4880,5866,6872,7854,8817,9870,754,1467,2233,2981,3726,4482,5230,5998,6762,7475,451,891,1354,1831,2316,2787,3267,3735,4172,4672,720,1426,2143,2903,3689,4403,5191,5935,6674,7442,400,792,1190,1567,1960,2327,2727,3153,3554,3959,478,940,1371,1813,2265,2724,3177,3636,4087,4510
X8,1,2,5,9,11,17,23,27,29,34,101,204,285,398,500,597,690,803,903,1000,186,381,592,773,959,1147,1353,1547,1728,1936,86,184,252,330,414,506,585,661,742,829,45,111,187,261,316,394,472,544,620,689,215,436,629,809,1011,1207,1414,1595,1795,2013,77,173,262,360,502,608,704,810,898,981,49,94,148,202,246,300,340,381,426,471
X9,202,412,632,849,1055,1262,1454,1696,1914,2131,238,472,698,911,1117,1375,1570,1837,2097,2315,607,1240,1872,2490,3090,3675,4267,4912,5539,6192,713,1438,2126,2859,3547,4218,4923,5652,6365,7112,204,386,557,750,932,1110,1304,1494,1673,1867,628,1250,1856,2505,3156,3711,4357,4963,5564,6147,140,329,505,651,814,982,1142,1303,1465,1604,267,544,829,1103,1363,1595,1847,2089,2325,2605
Y1,86,220,318,429,548,665,764,877,1012,1130,63,128,184,245,313,385,444,513,587,651,287,555,825,1116,1398,1671,1924,2201,2456,2759,87,174,245,316,418,495,576,645,720,815,106,257,407,531,686,807,958,1096,1230,1353,174,332,458,609,748,920,1086,1234,1397,1559,240,463,677,931,1160,1360,1568,1787,1984,2194,265,538,793,1049,1337,1563,1843,2137,2346,2614
Y2,169,377,539,727,878,1075,1233,1405,1574,1744,121,238,355,492,639,750,852,982,1097,1219,440,935,1408,1908,2386,2870,3361,3846,4378,4858,178,347,543,712,883,1079,1260,1432,1589,1768,82,167,234,298,392,473,556,628,706,794,233,466,703,934,1162,1366,1553,1786,2002,2236,168,335,552,775,937,1138,1364,1566,1764,1958,30,60,95,122,154,189,218,237,256,278
